Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
161,2025-03-03,9208,ULHC,Upper Lohore Khola Hydropower Company Limited,580,589,569,569,39281,22712526.1,580,693,306.1,2025-03-03T14:59:47.642543,569,420,578.2,2900.78
162,2025-03-03,9209,CLI,Citizen Life Insurance Company Limited,745,752.5,730,736,203943,150718800.1,738,774.9,428,2025-03-03T14:59:58.210339,736,1844,739.02,28980
163,2025-03-03,9214,BGWT,Bhagawati Hydropower Development Company Limited,1130,1162.8,1117.6,1133.9,10780,12173373.8,1149.9,1361.7,565.7,2025-03-03T14:59:59.233677,1133.9,172,1129.25,6746.11
164,2025-03-03,9215,MSHL,Mid Solu Hydropower Limited,1005,1010,980,1010,9305,9248329.7,1020,1180,562,2025-03-03T14:59:59.216296,1010,186,993.9,7558.84
165,2025-03-03,9216,SONA,Sonapur Minerals And Oil Limited,538,540,521.1,524,157730,83262120.4,538.1,624,422.1,2025-03-03T14:59:59.155907,524,1577,527.87,16113.26
166,2025-03-03,9217,MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,790,800,756,768,13378,10263511.1,780,890.4,395,2025-03-03T14:59:57.503141,768,206,767.19,7680
167,2025-03-03,9218,TVCL,Trishuli Jal Vidhyut Company Limited ,608.8,608.8,586,590,20535,12158333.8,596.9,697,431,2025-03-03T14:59:57.03222,590,231,592.07,10929.75
168,2025-03-03,9221,H8020,Himalayan 80-20,10.25,10.25,10.09,10.24,87850,899810.7,10.25,10.83,8.3,2025-03-03T14:51:52.835758,10.24,47,10.24,102.4
169,2025-03-03,9232,CKHL,Chirkhwa Hydropower Limited ,801,829,788,793,14069,11245617.5,815,910,480.5,2025-03-03T14:59:56.735217,793,166,799.31,3172
170,2025-03-03,9233,NWCL,Nepal Warehousing Company Limited ,1101.2,1147,1086,1130,57210,64103898.8,1079.7,1264,678,2025-03-03T14:59:53.816215,1130,763,1120.5,7768.75
171,2025-03-03,9234,HRL,Himalayan Reinsurance Limited,1020,1100,1020,1092.1,1295506,1387447924.7,1019.1,1100,512,2025-03-03T14:59:59.186642,1092.1,10793,1070.96,113578.4
172,2025-03-03,9238,NABILD87,9% Nabil Debenture 2087,1055,1055,1055,1055,50,52750,1052.1,1105,950,2025-03-03T13:58:44.791116,1055,1,1055,3165
173,2025-03-03,9241,KSY,Kumari Sabal Yojana,8.84,8.9,8.84,8.9,1758,15585.46,9.02,10.91,7.77,2025-03-03T14:42:13.228942,8.9,8,8.86,662.83
174,2025-03-03,9242,SARBTM,Sarbottam Cement Limited,915.4,915.4,875,880,76910,68636596.7,902,1083,556,2025-03-03T14:59:56.57719,880,537,892.42,43784.4
175,2025-03-03,9245,MNMF1,Muktinath Mutual Fund 1,9.2,10,8.85,9.87,258671,2476199.82,9.27,10.42,8.67,2025-03-03T14:59:49.179449,9.87,162,9.57,1233.75
176,2025-03-03,9246,GMLI,Guardian Micro Life Insurance Limited ,1165,1256.4,1165,1256.4,12620,15840555,1142.2,1256.4,301,2025-03-03T14:59:53.520814,1256.4,1263,1255.19,9423
